"","Date","Minimum temperature","Maximum temperature","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"317",2019-02-01,5.8,16.5,1.8,NA,NA,"NW",39,11:00:00,12,99,8,"NNW","20",1017.8,14.7,55,5,"WNW","24",1016.3
"318",2019-02-02,-2.2,14.5,0,NA,NA,"WNW",30,15:13:00,2.4,98,1,"ESE","7",1022.2,14,47,2,"WNW","17",1019.1
"319",2019-02-03,-1.4,13.7,0,NA,NA,"NW",19,15:15:00,2.7,99,8,"SE","6",1023.7,13.4,60,NA,"NNW","11",1021.2
"320",2019-02-04,-0.8,13.2,0.2,NA,NA,"NNW",17,02:11:00,4,99,7,"N","2",1024.9,12.7,55,8,NA,"Calm",1021.3
"321",2019-02-05,1.1,15.6,0,NA,NA,"SE",26,09:36:00,6.1,85,6,NA,"Calm",1024.5,14.2,54,8,"SSW","7",1022.2
"322",2019-02-06,0.5,13.7,0,NA,NA,"NW",37,14:15:00,4.9,99,2,"E","6",1022.1,11.5,59,8,"NW","24",1018.9
"323",2019-02-07,-2.7,11.9,0.4,NA,NA,"WNW",26,12:01:00,2.2,95,NA,NA,"Calm",1024.1,11.2,44,NA,"NW","9",1022.5
"324",2019-02-08,-4.4,11,0,NA,NA,"N",31,14:29:00,1.5,83,NA,"SSW","2",1026.5,9,48,6,"NNW","15",1022.3
"325",2019-02-09,-4.9,11.4,0,NA,NA,"S",37,14:07:00,-0.5,99,8,"SSW","4",1025.5,10.5,40,NA,"S","24",1024.2
"326",2019-02-10,-1.5,11.5,0,NA,NA,"S",35,09:53:00,5.4,70,NA,"N","2",1029,10.8,44,NA,"SSE","15",1026.9
"327",2019-02-11,-3.8,10.8,0.2,NA,NA,"SSW",39,12:04:00,6,75,2,"SE","15",1029.5,9.8,57,8,"S","28",1028.3
"328",2019-02-12,-0.8,13.6,0,NA,NA,"ESE",33,13:05:00,6.3,81,NA,"SE","9",1034.1,11.8,55,7,"ESE","20",1032.5
"329",2019-02-13,-2.2,15.9,0,NA,NA,"SSE",19,00:37:00,4.1,89,NA,"N","6",1036.6,14.8,49,5,"ESE","2",1033.7
"330",2019-02-14,0.4,15,0,NA,NA,"E",22,14:27:00,7.3,80,NA,"SW","7",1038.7,14.4,46,NA,"E","9",1035.6
"331",2019-02-15,0.4,15.9,0,NA,NA,"SE",17,01:30:00,6.4,99,8,"SSE","6",1037.7,15.2,55,1,"NE","7",1033.6
"332",2019-02-16,-1.1,16.7,0.4,NA,NA,"NNW",30,13:34:00,1.9,99,6,NA,"Calm",1034.2,15.8,49,NA,"NNW","17",1029.3
"333",2019-02-17,-1.7,16.6,0,NA,NA,"N",54,20:39:00,4.4,99,5,NA,"Calm",1027.8,15.1,56,2,"NNW","24",1019.5
"334",2019-02-18,4.3,11.3,7.4,NA,NA,"NNW",46,02:37:00,6.9,82,8,"N","17",1021.3,10.2,49,NA,"NNW","26",1021.3
"335",2019-01-07,-4.7,12.5,0.2,NA,NA,"N",31,16:59:00,0.6,90,NA,"N","4",1026.9,11.1,50,1,"NNW","11",1022.1
"336",2019-02-07,-3.6,15,0,NA,NA,"NW",37,15:05:00,0.6,96,NA,"NE","2",1023,14.1,34,NA,"NW","26",1020.5
"337",2019-03-07,-3.1,15.6,0,NA,NA,"E",30,18:18:00,4.9,84,6,NA,"Calm",1031.3,13.2,55,4,"N","15",1030.7
"338",2019-04-07,2.5,13.3,0,NA,NA,"E",35,12:27:00,9,76,1,"ESE","7",1038.1,12.2,66,8,"SE","19",1036.7
"339",2019-05-07,0,15.8,0,NA,NA,"E",33,15:11:00,6.5,98,7,"E","7",1039.2,12.8,79,8,"E","13",1036
"340",2019-06-07,4.6,15.6,0.2,NA,NA,"NE",26,14:17:00,8.5,99,8,"SSW","6",1038,14.8,51,1,"ENE","11",1034.5
"341",2019-07-07,0.2,15.3,0.2,NA,NA,"NNW",17,15:46:00,8.9,83,6,NA,"Calm",1034.6,14.6,60,6,"NW","7",1030.5
"342",2019-08-07,7.3,15.9,0,NA,NA,"NW",35,15:17:00,10.1,96,7,"NNW","15",1026.3,14.9,58,3,"WNW","26",1022.4
"343",2019-09-07,-1.2,13.4,0,NA,NA,"WNW",39,15:02:00,3.9,90,NA,"SE","6",1022.6,12,48,NA,"WNW","28",1018.9
"344",2019-10-07,3.9,10.8,0,NA,NA,"NNW",57,23:44:00,7.9,83,2,"NNW","19",1019.1,9.5,64,8,"NNW","28",1015.4
"345",2019-11-07,6,10.6,0.8,NA,NA,"NW",61,01:50:00,7.8,67,8,"NNW","22",1012.9,8.5,66,8,"NNW","37",1011.9
"346",2019-12-07,7.7,13.1,0,NA,NA,"NW",69,13:05:00,10.1,67,7,"NW","31",1012.8,10.6,77,7,"NW","48",1010.4
"347",2019-02-19,3.2,8.7,2.8,NA,NA,"NNW",65,00:29:00,4.9,70,2,"NNW","35",1013.4,7.4,61,1,"WNW","35",1015.6
"348",2019-02-20,1,8.6,0,NA,NA,"NW",63,17:32:00,4.7,70,NA,"NW","31",1022,6.1,69,8,"NNW","28",1018.1
"349",2019-02-21,4.6,12.8,0.2,NA,NA,"WNW",54,00:19:00,8.3,62,1,"W","11",1018,12.2,46,NA,"WNW","28",1018.4
"350",2019-02-22,-2.1,14,0,NA,NA,"NW",46,09:47:00,5,86,NA,"S","4",1021.2,13.2,47,NA,"WNW","30",1019.5
"351",2019-02-23,4.4,12.5,0,NA,NA,"WNW",54,13:19:00,9.4,66,NA,"NNW","13",1020.1,11,50,NA,"WNW","35",1015.8
"352",2019-02-24,5.9,13,0,NA,NA,"NW",46,14:30:00,9.4,55,NA,"WNW","19",1016.6,11.9,52,NA,"NW","33",1016.6
"353",2019-02-25,2.3,13.3,0,NA,NA,"N",37,11:23:00,7.8,75,NA,"NW","20",1021.4,12.3,62,NA,"N","26",1021.2
"354",2019-02-26,-0.7,12.7,0,NA,NA,"NNW",28,15:15:00,2.6,95,8,"ESE","9",1025.3,12.5,61,NA,"NNW","17",1021
"355",2019-02-27,-4.7,15.8,0,NA,NA,"NW",44,13:10:00,2.5,99,NA,"SW","4",1019.8,15.2,43,3,"NNW","30",1015.8
"356",2019-02-28,-1.6,17.3,0,NA,NA,"N",31,13:22:00,4.8,80,NA,NA,"Calm",1019.4,16.6,33,NA,"NW","22",1015.6
"357",2019-03-01,-2.4,16,0,NA,NA,"WNW",59,14:48:00,10,58,NA,"NNW","30",1017.2,14.5,46,NA,"WNW","37",1015.6
"358",2019-03-02,7.8,13.5,0,NA,NA,"WNW",57,00:48:00,9.3,53,NA,"WNW","22",1020.6,12.9,46,NA,"NNW","28",1021.3
"359",2019-03-03,-5.1,15.7,0,NA,NA,"NW",24,15:42:00,1.9,85,NA,"S","9",1028.6,15.5,36,NA,"NNW","11",1024.6
"360",2019-03-04,-1.8,11.1,0,NA,NA,"NW",19,14:28:00,2,93,7,"NNE","2",1023.8,11,68,8,"WNW","9",1021.8
"361",2019-03-05,0.2,16.2,0.2,NA,NA,"WNW",28,17:05:00,4.4,100,8,"E","7",1025.8,15.5,48,8,"NW","19",1022.9
"362",2019-03-06,-3.3,14.3,0,NA,NA,"NNW",31,15:09:00,3.3,97,NA,"N","2",1028,13.3,51,NA,"NNW","19",1023.8
"363",2019-03-07,-2.4,14.2,0,NA,NA,"NW",37,12:56:00,3.3,89,7,"N","6",1023.4,11,73,8,"NNW","22",1020.2
"364",2019-03-08,-1.4,13.6,0.2,NA,NA,"SSE",31,10:33:00,6.5,80,NA,"SE","15",1026.4,12.7,35,NA,"SSW","7",1025.5
"365",2019-03-09,-2.8,13.7,0.2,NA,NA,"WNW",19,13:10:00,4.6,74,NA,"SE","11",1033.1,13.2,44,NA,"W","11",1029.8
"366",2019-01-08,-3.8,14.6,0,NA,NA,"NW",28,12:55:00,2.4,83,NA,"N","4",1032,14.1,48,NA,"NW","20",1028.7
"367",2019-02-08,0,15.2,0,NA,NA,"NNW",30,13:39:00,6.8,73,NA,"N","6",1032.8,14.9,39,NA,"NNW","19",1029.3
"368",2019-03-08,-0.9,13.3,0,NA,NA,"N",33,16:23:00,4.6,98,8,"NW","9",1030.9,12.3,57,NA,"N","20",1027
"369",2019-04-08,0.4,13.6,0,NA,NA,"NW",24,17:00:00,1.4,93,8,"SE","7",1031.1,12.3,53,2,"NNW","15",1026.9
"370",2019-05-08,0.9,11.9,0,NA,NA,"N",33,13:18:00,5.9,93,7,NA,"Calm",1026.4,11,55,NA,"N","20",1023.5
"371",2019-06-08,-2.5,12.9,0,NA,NA,"N",35,18:44:00,2.5,97,8,"NE","7",1023.1,12.3,49,NA,"NNW","22",1018.3
"372",2019-07-08,-5,16,0,NA,NA,"NW",43,13:22:00,3,90,2,NA,"Calm",1016.2,14.4,32,NA,"NNW","31",1010.9
"373",2019-08-08,-3.5,12.6,3.2,NA,NA,"WNW",63,15:24:00,5.7,93,8,"NW","17",1005.1,10.3,55,1,"NW","31",1002
"374",2019-09-08,4.1,8.7,6.6,NA,NA,"NNW",72,02:51:00,5,89,8,"NNW","35",999,7,63,2,"NW","35",1000.2
"375",2019-10-08,0.8,8.8,3,NA,NA,"W",52,14:03:00,3.5,87,4,"NNW","19",1002.3,6.9,63,8,"NW","30",1001
"376",2019-11-08,2,10.7,1.6,NA,NA,"NNW",46,04:43:00,4.1,88,8,"NNW","26",1002.2,8.8,54,8,"WNW","26",1005.1
"377",2019-12-08,-1.6,13,0,NA,NA,"NW",35,15:22:00,4.8,75,NA,"NW","9",1020.7,12.2,52,NA,"NNW","24",1020.3
"378",2019-03-10,-1.7,12.7,0,NA,NA,"N",31,15:31:00,3,92,8,"SE","2",1027.7,11.9,55,NA,"NNW","19",1025.1
"379",2019-03-11,-4.1,10.2,0,NA,NA,"N",24,15:04:00,0.9,99,8,NA,"Calm",1030.9,9.1,60,NA,"NNW","13",1027.4
"380",2019-03-12,-3.2,15.3,0.2,NA,NA,"NNW",46,16:34:00,6.9,71,NA,"ENE","9",1027,14.5,28,NA,"WNW","31",1022.5
"381",2019-03-13,-2.8,18.3,0,NA,NA,"NW",52,13:34:00,5.5,76,NA,NA,"Calm",1021.6,16.5,30,NA,"NNW","31",1016.5
"382",2019-03-14,0.3,17.8,0,NA,NA,"E",37,19:29:00,9.5,61,NA,"SE","11",1021.4,16.2,35,NA,"SE","2",1019
"383",2019-03-15,-1.1,18.9,0,NA,NA,"NW",70,19:46:00,4.9,99,8,NA,"Calm",1019.1,18.4,36,8,"NW","15",1011.8
"384",2019-03-16,2.6,9.4,2.4,NA,NA,"WNW",56,13:15:00,5.7,73,7,"NW","26",1016.3,8.5,49,6,"WNW","31",1019
"385",2019-03-17,2.7,13.2,0,NA,NA,"WNW",61,20:39:00,7.7,63,NA,"NW","30",1024,10.5,54,NA,"NW","37",1022
"386",2019-03-18,6.8,16.6,0,NA,NA,"W",52,22:40:00,12.3,56,NA,"W","30",1017,16.1,38,NA,"WNW","30",1015.6
"387",2019-03-19,9,16.1,0,NA,NA,"W",54,03:00:00,13.5,42,NA,"SW","24",1013.9,14.2,27,NA,"SSE","28",1016.6
"388",2019-03-20,-5.2,14.7,0,NA,NA,"NNW",31,15:03:00,3.3,64,NA,NA,"Calm",1028.4,13.6,30,NA,"NNW","19",1024.4
"389",2019-03-21,-5.2,17.4,0,NA,NA,"NW",56,13:49:00,8,60,NA,NA,"Calm",1022.1,16.4,32,NA,"NW","31",1017.3
"390",2019-03-22,0.1,18.3,0,NA,NA,"N",46,14:36:00,11.7,43,NA,"N","15",1018.1,16.1,27,NA,"NNW","33",1017.4
"391",2019-03-23,5.1,13.7,0,NA,NA,"NE",26,16:53:00,8.5,67,7,"S","11",1024.5,11.8,56,6,"ESE","9",1022
"392",2019-03-24,5,13.2,0.8,NA,NA,"NE",20,18:44:00,7.3,88,8,"SE","9",1025.5,12.7,57,8,NA,"Calm",1022.3
"393",2019-03-25,1.6,17,0,NA,NA,"WNW",44,15:24:00,7.8,88,NA,"NNW","9",1022.8,15.7,31,NA,"WNW","28",1017.5
"394",2019-03-26,0.7,13.8,0,NA,NA,"SSE",41,10:25:00,7,62,6,"S","19",1025.9,12.4,42,8,"ESE","19",1024.6
"395",2019-03-27,1.3,14.5,0,NA,NA,"SE",39,11:22:00,8,63,4,"S","17",1029.3,13,46,6,"ESE","13",1026.5
"396",2019-03-28,0.6,17.2,0,NA,NA,"NNE",26,13:14:00,8.7,70,7,"SE","13",1028.4,16.2,37,NA,"WNW","6",1022.8
"397",2019-01-09,-2.3,19.8,0,NA,NA,"NW",39,14:18:00,7.1,70,NA,"NNE","4",1024.1,17.9,25,1,"NW","20",1018.2
"398",2019-02-09,0.5,19,0.2,NA,NA,"NW",28,17:34:00,10,68,NA,"NW","7",1020.7,18.1,33,NA,"WNW","11",1017.7
"399",2019-03-09,2.9,21.7,0,NA,NA,"NW",41,14:39:00,11.7,58,NA,"NW","6",1019.2,21.2,28,NA,"NNW","28",1014.6
"400",2019-04-09,-0.3,22.2,0,NA,NA,"NW",48,13:45:00,9.6,63,NA,"W","9",1017.3,19.4,26,8,"WNW","31",1014.4
"401",2019-05-09,1.5,21.2,0,NA,NA,"SW",31,15:33:00,10.9,55,8,"S","7",1016.8,20.4,33,8,"SW","13",1013.4
"402",2019-06-09,5.7,20.1,0,NA,NA,"W",69,15:12:00,14.2,65,NA,"N","4",1004.7,14,53,8,"NW","37",1000.7
"403",2019-07-09,5,11.8,3.8,NA,NA,"WNW",69,14:41:00,8.3,61,8,"WNW","33",1008.7,9.9,52,8,"WNW","37",1008.2
"404",2019-08-09,4,13.4,0,NA,NA,"WNW",57,14:52:00,9.1,47,NA,"WSW","24",1014.2,10.8,52,NA,"WNW","37",1011.7
"405",2019-09-09,3.7,14.1,0,NA,NA,"SSW",69,13:34:00,9.3,43,5,"W","17",1012.6,12.8,29,1,"S","46",1014.8
"406",2019-10-09,-0.5,16.3,0,NA,NA,"SSW",35,07:55:00,7.6,50,NA,"SSW","24",1026.4,15.5,24,NA,"NW","15",1024.5
"407",2019-11-09,-3.1,19.4,0,NA,NA,"NNW",30,16:26:00,7.3,68,NA,"NNW","7",1031.5,18.6,28,NA,"NW","17",1027.4
"408",2019-12-09,-0.9,19.2,0,NA,NA,"NW",50,15:19:00,12.1,51,NA,"N","22",1024.6,18.3,26,7,"WNW","28",1019.3
"409",2019-03-29,-2.8,22.3,0,NA,NA,"N",50,14:51:00,9.3,55,NA,"W","2",1025.2,21.4,17,NA,"N","35",1019.8
"410",2019-03-30,-0.5,21.8,0,NA,NA,"NNW",35,14:30:00,12.1,49,NA,NA,"Calm",1024.6,20.1,27,NA,"NNW","22",1021.3
"411",2019-03-31,-0.4,24,0,NA,NA,"NW",43,14:04:00,11.1,50,1,"NNW","4",1024.4,22.9,17,NA,"NNW","31",1019.8
"412",2019-04-01,5.4,24.7,0,NA,NA,"NNW",46,11:23:00,20,17,2,"NNW","20",1016.1,19.5,37,8,"WSW","24",1015.3
"413",2019-04-02,0.8,11.3,32,NA,NA,"SE",50,14:00:00,5.6,82,8,"SSE","19",1024.3,9.5,70,8,"SE","30",1024.8
"414",2019-04-03,1.5,15.9,0,NA,NA,"SE",35,09:50:00,10.6,59,NA,"SSE","15",1029.3,13.1,60,6,"ESE","26",1027.2
"415",2019-04-04,10,20.1,0,NA,NA,"ENE",31,16:01:00,13.1,87,8,"SW","2",1028.3,18.5,52,8,"NE","19",1024.5
"416",2019-04-05,5.6,23.3,0,NA,NA,"NE",43,21:52:00,14.9,72,4,"NW","4",1026.6,22.6,42,1,"N","15",1020.9
"417",2019-04-06,10.1,18.7,0,NA,NA,"NW",52,13:26:00,16.9,69,8,NA,"Calm",1020.1,16.2,77,8,"N","26",1016.8
"418",2019-04-07,6.9,17.2,3.8,NA,NA,"NNW",50,13:13:00,13.2,49,5,"W","20",1023.3,15,37,7,"NNW","31",1021.3
"419",2019-04-08,0.1,13.6,0,NA,NA,"WNW",50,11:09:00,10.9,58,6,"WNW","24",1023.7,10.9,49,6,"WSW","28",1023.1
"420",2019-04-09,-2.9,16.9,0.2,NA,NA,"N",44,13:36:00,7.5,68,NA,"NNW","7",1027.7,15.3,39,NA,"NW","30",1024
"421",2019-04-10,-0.9,17.9,0,NA,NA,"ENE",30,20:39:00,9.6,63,NA,"W","6",1029.4,16.8,34,NA,"S","7",1025.1
"422",2019-04-11,4.4,18.2,0,NA,NA,"NNW",35,13:13:00,12.7,65,4,"NNW","7",1027.1,16.9,37,2,"NNW","19",1022.9
"423",2019-04-12,0.7,20.8,0,NA,NA,"WNW",54,14:28:00,11.3,62,NA,"SW","7",1020.3,18.8,29,7,"W","26",1015.8
"424",2019-04-13,3.7,18.1,0,NA,NA,"NNW",31,00:16:00,11.4,42,NA,"SW","17",1018.2,17.2,35,NA,"NNW","13",1016.7
"425",2019-04-14,2.2,20.2,0,NA,NA,"N",48,13:14:00,10.9,65,8,"NNW","6",1018.7,18.5,29,NA,"NNW","33",1016.1
"426",2019-04-15,3.6,19.7,0,NA,NA,"E",43,18:48:00,11.7,57,NA,"SSE","9",1024.8,19.1,29,NA,"NW","11",1023.2
"427",2019-01-10,5.6,21.1,0,NA,NA,"NNW",31,17:02:00,11.9,64,1,"NW","7",1031.7,20.2,26,NA,"N","17",1026.5
"428",2019-02-10,1.8,24.7,0,NA,NA,"NNW",43,11:49:00,15.4,49,NA,NA,"Calm",1028.9,24.3,24,NA,"W","22",1024.6
"429",2019-03-10,4.2,28,0,NA,NA,"NNW",39,13:26:00,16.3,44,NA,"NNW","2",1026,27.2,19,NA,"WNW","20",1020.9
"430",2019-04-10,5.7,28.1,0,NA,NA,"WNW",44,10:32:00,21,33,NA,"NNW","17",1019.9,25.7,27,5,"WNW","31",1016.3
"431",2019-05-10,12.1,19.2,4,NA,NA,"ENE",33,12:00:00,13.3,84,8,"E","13",1023,18.1,53,7,"ENE","17",1020.2
"432",2019-06-10,11.4,30.4,0,NA,NA,"N",61,12:28:00,13.9,87,1,"SE","7",1016.8,28.8,25,NA,"NNW","39",1009.1
"433",2019-07-10,8.6,23.7,0,NA,NA,"NW",54,11:45:00,18.4,51,NA,"NNW","19",1012.1,22.2,34,NA,"NNW","31",1010.1
"434",2019-08-10,8.4,18.7,0,NA,NA,"W",54,14:17:00,14.4,55,NA,"WNW","28",1011.3,12.3,63,8,"WNW","26",1011.6
"435",2019-09-10,1.7,16.3,11.2,NA,NA,"S",39,07:47:00,7.6,63,NA,"S","30",1023.1,15.8,42,2,"S","6",1021
"436",2019-10-10,1,19.2,0,NA,NA,"E",43,18:23:00,8.6,66,NA,"S","9",1023.6,18.2,31,1,"W","13",1019.4
"437",2019-11-10,8.5,17.1,0,NA,NA,"ESE",41,12:27:00,12,69,8,"ESE","13",1019.5,15.8,48,5,"SE","26",1015.8
"438",2019-12-10,6.6,15.9,0,NA,NA,"ESE",30,07:52:00,10.5,63,8,"ESE","19",1019.3,14.1,48,8,"SE","11",1017.1
"439",2019-04-16,1.8,19.8,0,NA,NA,"N",28,13:18:00,10.2,69,NA,"SSE","6",1020.8,18.4,31,1,"SW","9",1017.3
"440",2019-04-17,4.3,22.7,0,NA,NA,"SSW",33,17:54:00,10.2,77,8,"S","7",1017.3,21.3,32,5,"WSW","13",1013.7
"441",2019-04-18,6.6,28,0,NA,NA,"NW",56,14:34:00,13.9,60,5,"S","6",1013.4,26.5,29,NA,"N","30",1009.2
"442",2019-04-19,7.8,24.8,0,NA,NA,"NNW",67,13:47:00,16.8,64,1,"W","9",1012.3,23.5,28,7,"NW","46",1008.4
"443",2019-04-20,9.5,16.1,4.8,NA,NA,"WNW",69,13:26:00,14.1,72,8,"NNW","26",1008.2,14.5,34,NA,"WNW","41",1008.9
"444",2019-04-21,5.8,21,0,NA,NA,"NNW",52,13:18:00,11.7,48,NA,"NW","17",1017.4,19.7,21,NA,"WNW","31",1014.2
"445",2019-04-22,8.8,19.2,0,NA,NA,"NW",78,11:47:00,16,42,NA,"WNW","37",1013.7,17.3,29,NA,"WNW","43",1013.4
"446",2019-04-23,-0.2,20.9,0,NA,NA,"N",30,14:02:00,9.8,51,NA,"ENE","2",1022.1,20.2,23,NA,"NNW","13",1020
"447",2019-04-24,3.1,26.7,0,NA,NA,"ENE",33,18:16:00,13.5,53,NA,"SW","7",1027,25.1,19,NA,"WSW","9",1023.2
"448",2019-04-25,5.8,28.5,0,NA,NA,"E",41,18:10:00,15,57,NA,"SW","6",1026,27.4,14,NA,"NNW","17",1021.2
"449",2019-04-26,5.8,29.2,0,NA,NA,"SW",80,12:16:00,14.9,67,NA,NA,"Calm",1023.8,28.5,11,NA,"WNW","31",1019.1
"450",2019-04-27,6.8,31.2,0,NA,NA,"W",39,14:26:00,17.4,32,NA,"SE","4",1020.4,30.3,12,NA,"WNW","20",1016.1
"451",2019-04-28,9.1,31.1,0,NA,NA,"NNW",91,13:58:00,20.2,33,7,"S","9",1013.6,29.9,18,6,"NNW","61",1007.7
"452",2019-04-29,12.3,18.2,7.6,NA,NA,"NW",78,12:55:00,15.1,48,NA,"WNW","31",1006.2,17.7,32,2,"WNW","52",1006
"453",2019-04-30,4.6,20.5,0,NA,NA,"NNW",43,12:23:00,11.8,45,NA,"NW","22",1015.1,19.1,25,3,"NW","31",1013.8
"454",2019-05-01,3.7,22.9,0,NA,NA,"W",39,13:58:00,12.7,52,NA,"SW","9",1022.8,21.4,21,NA,"W","13",1021
"455",2019-05-02,5.6,27.4,0,NA,NA,"NNW",50,13:47:00,15.1,64,NA,NA,"Calm",1023.7,25.5,24,NA,"NNW","20",1018.8
"456",2019-05-03,8.8,29.3,0,NA,NA,"W",28,12:03:00,16.2,47,NA,"ESE","6",1020.2,28.6,13,NA,"NNE","13",1016.6
"457",2019-05-04,7,31.7,0,NA,NA,"NE",41,18:29:00,19.1,42,NA,"SSE","6",1019,30.2,11,NA,"W","15",1015.2
"458",2019-01-11,10.4,32.5,0,NA,NA,"NNW",39,13:08:00,19.8,34,NA,NA,"Calm",1017.9,30.2,15,NA,"ENE","9",1012.6
"459",2019-02-11,13.9,31.3,0,NA,NA,"N",63,12:21:00,21.5,42,7,NA,"Calm",1015.9,30.8,21,2,"NNW","33",1011.3
"460",2019-03-11,15.8,25.8,0,NA,NA,"NNW",57,09:52:00,20.9,65,4,"W","7",1013.8,17.5,85,8,"SSW","6",1010.9
"461",2019-04-11,11.5,22.6,12.4,NA,NA,"WNW",56,13:15:00,16.3,71,3,"NNW","19",1014.2,20.4,33,2,"WNW","33",1012.7
"462",2019-05-11,8.6,19,0.2,NA,NA,"S",35,07:17:00,11.2,55,2,"S","24",1015.6,16.6,35,7,"NNW","17",1013.6
"463",2019-06-11,7.2,23.7,0,NA,NA,"NW",70,17:00:00,14.8,40,NA,"NNW","19",1012.6,22.4,25,NA,"NW","41",1007.9
"464",2019-07-11,11.3,19.4,0,NA,NA,"WNW",70,08:42:00,13,46,NA,"WNW","39",1005.9,17.9,35,1,"WNW","37",1005.1
"465",2019-08-11,12.7,18.8,0,NA,NA,"NW",72,10:47:00,14.9,48,1,"WNW","35",1001.8,13.9,64,8,"WNW","30",1002.2
"466",2019-09-11,1.6,16.7,0,NA,NA,"WNW",56,13:34:00,9,41,NA,"WSW","13",1011.8,14.4,34,1,"WNW","35",1009.8
"467",2019-10-11,8.4,20.4,0,NA,NA,"NNW",54,11:56:00,13.8,52,1,"NW","31",1011.9,19.1,40,NA,"WNW","33",1011.3
"468",2019-11-11,3.7,26.4,0,NA,NA,"NW",50,11:54:00,16.9,53,NA,"NNW","11",1015.3,24.9,19,NA,"WNW","24",1011.6
"469",2019-12-11,5.8,26.6,0,NA,NA,"NW",67,14:07:00,22.3,19,NA,"NW","39",1006.3,23.5,21,8,"WNW","33",1003.5
"470",2019-05-05,6.7,20.8,0,NA,NA,"WNW",50,16:27:00,11.3,34,NA,"WNW","20",1013,19.4,23,NA,"WNW","35",1010.6
"471",2019-05-06,7.1,24.7,0,NA,NA,"NW",52,13:53:00,15.8,43,NA,"WNW","19",1014.9,23,28,NA,"WNW","35",1011.1
"472",2019-05-07,11.8,25.7,0,NA,NA,"NW",61,13:38:00,17.2,43,NA,"WNW","20",1010.9,24.3,18,NA,"WNW","35",1007.8
"473",2019-05-08,8.4,25.7,0,NA,NA,"NW",50,13:45:00,16.4,40,NA,"NE","7",1014.5,24.3,13,NA,"NW","28",1011.8
"474",2019-05-09,9.6,25.1,0,NA,NA,"E",52,17:08:00,15,59,1,"S","11",1016.6,23.3,17,1,"NW","11",1013.2
"475",2019-05-10,6.8,27,0,NA,NA,"NNW",59,12:36:00,16,48,NA,"NW","17",1017.5,25.9,18,NA,"WNW","30",1013
"476",2019-05-11,8.4,32.5,0,NA,NA,"WNW",57,12:15:00,24.1,22,NA,"NW","13",1012.7,30.8,10,NA,"NW","35",1009.3
"477",2019-05-12,8.4,31.4,0,NA,NA,"ENE",33,19:15:00,16.7,56,NA,"NE","9",1017,29.6,17,NA,"E","9",1013.4
"478",2019-05-13,10.9,39,0,NA,NA,"NNW",54,14:11:00,23.6,37,NA,"SE","4",1015,38.2,7,NA,"NW","30",1009.2
"479",2019-05-14,16.9,34.9,0,NA,NA,"NW",52,13:52:00,27.7,24,8,"N","15",1012.2,33.4,18,8,"NW","31",1010.7
"480",2019-05-15,12.9,33.1,0,NA,NA,"NNW",54,12:39:00,20.8,51,NA,"NNE","13",1014.6,31.5,8,NA,"WNW","26",1011.8
"481",2019-05-16,8.1,28.6,0,NA,NA,"NNE",39,13:34:00,16.2,60,8,"ENE","13",1019.1,24.5,37,NA,"NE","13",1013.9
"482",2019-05-17,10.7,31.5,0,NA,NA,"NW",52,11:07:00,20.8,57,NA,"NNW","15",1012.2,31,24,1,"NW","31",1007.7
"483",2019-05-18,15.4,27.3,0,NA,NA,"NW",89,11:07:00,23.2,48,7,"NNW","30",1002.4,18.6,35,8,"WNW","46",1003.2
"484",2019-05-19,1.6,27.1,0,NA,NA,"NW",43,15:45:00,11.8,40,NA,"NW","7",1015.7,25.2,14,NA,"NNW","30",1012.5
"485",2019-05-20,5.6,30.3,0,NA,NA,"N",46,12:32:00,17.3,24,NA,"NNW","6",1016.5,28.3,8,NA,"NNE","19",1013
"486",2019-05-21,12.6,33.1,0,NA,NA,"N",65,12:35:00,20.5,42,NA,"SSW","2",1014.9,32.5,8,NA,"W","24",1009.8
"487",2019-05-22,11.8,23.8,0,NA,NA,"NW",69,12:12:00,20.5,47,8,"E","7",1009.2,20.3,42,8,"NW","30",1006.9
"488",2019-01-12,4.6,21.5,0,NA,NA,"NW",63,11:28:00,15.2,37,NA,"NW","20",1004.8,18.6,30,8,"WNW","37",998.8
"489",2019-02-12,7.4,15.1,0.6,NA,NA,"WNW",57,11:17:00,10.4,65,8,"WNW","26",992.3,11.1,69,8,"WSW","33",994.8
"490",2019-03-12,8.5,20.8,0.6,NA,NA,"W",61,04:17:00,13.2,44,NA,"WNW","31",1004.9,19.1,32,NA,"WNW","41",1003.5
"491",2019-04-12,12.6,24.1,0,NA,NA,"WNW",57,14:39:00,16.6,37,NA,"WNW","31",1008.4,22.9,18,NA,"WNW","35",1007
"492",2019-05-12,11.2,28.2,0,NA,NA,"WNW",63,12:37:00,20.4,31,NA,"NW","28",1008.6,27.3,12,NA,"WNW","35",1005
"493",2019-06-12,15.7,28,0,NA,NA,"WNW",50,11:35:00,21,26,NA,"NNW","20",1006,27.2,10,NA,"W","30",1005.2
